ПІБ кандидата,Партія,Номер територіального виборчого округу (в порядку зростання),Код статті,Дата платежу,Номер розрахункового документа,Отримувач (повна назва),Місцезнаходження отримувача,Код отримувача (ЄДРПОУ),Призначення платежу,Сума (грн),Тип бенефіціара,Розшифровка коду витрат
Журавльов Василь Миколайович,Стабільність,221,1110,2019-03-15,7,ТОВ Видавничий будинок Кераміст,"м. Запоріжжя, вул. Сєдова, буд. 16",31122120,+;1110;Виготовлення друкованих матеріалів (листівок) згідно з рахунком № К-00001298 від 2019-03-13 р. в т.ч. ПДВ 10620.00 грн.,63720,юридична особа,"виготовлення друкованих матеріалів (виборчих листівок, плакатів та інших агітаційних матеріалів чи видань)"
Журавльов Василь Миколайович,Стабільність,221,1211,2019-03-18,30,ТОВ Телераділкомпанія САТ-плюс,"Донецька обл., м. Слов’янськ, вул. Свободи, буд. 5",31477505,+;1211;Оплата ефірного часу на телебаченні згідно з рахунком № 000000028 від 2019-03-06 р. в т.ч. ПДВ 2800.00 грн.,16800,юридична особа,оплата ефірного часу на телебаченні
Журавльов Василь Миколайович,Стабільність,221,1211,2019-03-18,32,ТОВ Телерадіокомпанія  СКЕТ,"Донецька обл., м. Краматорськ, вул. Богдана Хмельницького, буд. 34/41",33270691,+;1211;Оплата ефірного часу на телебаченні згідно з рахунком № 0000010 від 2019-03-15 р. без ПДВ,7000,юридична особа,оплата ефірного часу на телебаченні
Журавльов Василь Миколайович,Стабільність,221,1211,2019-03-15,27,ТОВ Телерадіокомпанія Україна,"Донецька обл., м. Маріуполь, вул. Харлампіївська, буд. 17/25",05744121,+;1211;Оплата ефірного часу на телебаченні згідно з рахунком № 234 від 2019-03-05 р. в т.ч. ПДВ 3581.96 грн.,"21491,74",юридична особа,оплата ефірного часу на телебаченні
Журавльов Василь Миколайович,Стабільність,221,1211,2019-03-15,29,Телерадіокомпанія Бахмут,"Донецька обл., м. Бахмут, пл. Свободи, буд. 1",22034442,+;1211;Оплата ефірного часу на телебаченні згідно з рахунком № 29 від 2019-03-13 р. без ПДВ,7000,юридична особа,оплата ефірного часу на телебаченні
Журавльов Василь Миколайович,Стабільність,221,1211,2019-03-15,26,ТОВ ТЕЛЕБАЧЕННЯ КАПРІ,"Донецька обл., м. Покровськ, вул. Захисників України, буд. 6",33320794,+;1211;Оплата ефірного часу на телебаченні згідно з рахунком № 39 від 2019-03-05 р. без ПДВ,3710,юридична особа,оплата ефірного часу на телебаченні
Журавльов Василь Миколайович,Стабільність,221,1211,2019-03-15,28,"ТОВ ""Телерадіокомунікаційна компанія СИГМА","Донецька обл., м. Маріуполь, вул. Харлампіївська, буд. 17/25",13482897,+;1211;Оплата ефірного часу на телебаченні згідно з рахунком № 60 від 2019-03-12 р. в т.ч. ПДВ 3628.33 грн.,21770,юридична особа,оплата ефірного часу на телебаченні
Журавльов Василь Миколайович,Стабільність,221,1211,2019-03-13,3,ТОВ  Телерадіокомпанія  ТВ-7,"Донецька обл., м. Маріуполь, бул. Приморський, буд. 25",25106350,+;1211;Оплата ефірного часу на телебаченні згідно з рахунком № 65 від 2019-03-12 р. в т.ч. ПДВ 1056.58 грн.,"6339,48",юридична особа,оплата ефірного часу на телебаченні
Журавльов Василь Миколайович,Стабільність,221,1211,2019-03-15,9,ПАТ “НСТУ”,"м. Київ, вул. Мельникова, буд. 42",23152907,+;1211;Оплата ефірного часу на телебаченні згідно з рахунком № НКТ000000249 від 2019-03-12 р. в т.ч. ПДВ 11800.83 грн.,70805,юридична особа,оплата ефірного часу на телебаченні
Журавльов Василь Миколайович,Стабільність,221,1211,2019-03-13,4,ТОВ Телевізійна компанія Орбіта,"Донецька обл., м. Покровськ, пл. Шибанкова, буд. 1",22025804,+;1211;Оплата ефірного часу на телебаченні згідно з рахунком № ПР000000145 від 2019-03-06 р. в т.ч. ПДВ 742.00 грн.,4452,юридична особа,оплата ефірного часу на телебаченні
Журавльов Василь Миколайович,Стабільність,221,1212,2019-03-15,6,ПрАТ ТРК ЄВРОСТУДІЯ,"Донецька обл., м. Маріуполь, просп. Леніна, буд. 68",24161825,+;1212;Оплата ефірного часу на радіо згідно з рахунком № 34 від 12 березня 2019 р. в т.ч. ПДВ 1500.00 грн.,9000,юридична особа,оплата ефірного часу на радіо
Журавльов Василь Миколайович,Стабільність,221,1212,2019-03-15,8,ПАТ “НСТУ”,"м. Київ, вул. Мельникова, буд. 42",23152907,+;1212;Оплата ефірного часу на радіо згідно з рахунком № НКТ000000248 від 2019-03-12 р. в т.ч. ПДВ 10393.17 грн.,62359,юридична особа,оплата ефірного часу на радіо
Журавльов Василь Миколайович,Стабільність,221,1212,2019-03-13,5,ТОВ телерадіокомпанія АРТА ПЛЮС,"Харківська обл., м. Ізюм, вул. Соборна, буд. 56А",24648763,+;1212;Оплата ефірного часу на радіо згідно з рахунком № СФ-0000050 від 2019-03-12 р. в т.ч. ПДВ 1290.67 грн.,7744,юридична особа,оплата ефірного часу на радіо
Журавльов Василь Миколайович,Стабільність,221,1212,2019-03-15,18,ТОВ Комунікаційне агентство Сума технологій,"м. Харків, пл. Повстання, буд. 7/8",38605231,+;1212;Оплата ефірного часу на радіо Перець ФМ згідно з рахунком № 10 від 2019-03-13 р. в т.ч. ПДВ 462.00 грн.,2772,юридична особа,оплата ефірного часу на радіо
Журавльов Василь Миколайович,Стабільність,221,1212,2019-03-15,24,Радіостудія Нова Хвиля,"Івано-Франківська обл., м. Снятин, вул. В. Коснятина",25065118,+;1212;Оплата ефірного часу на радіо Перець ФМ згідно з рахунком № 13/03/3 від 2019-03-13 р. без ПДВ,700,юридична особа,оплата ефірного часу на радіо
Журавльов Василь Миколайович,Стабільність,221,1212,2019-03-15,25,ТОВ Телерадіокомпанія Спектр,"Сумська обл., м. Ромни, вул. Дудіна, буд. 4Г",31834233,+;1212;Оплата ефірного часу на радіо Перець ФМ згідно з рахунком № 22 від 2019-03-13 р. без ПДВ,1750,юридична особа,оплата ефірного часу на радіо
Журавльов Василь Миколайович,Стабільність,221,1212,2019-03-15,21,ПП Телерадіокомпанія Ефір-Р,"м. Київ, вул. Олександра Довженка, буд. 14, оф. 157",22511741,+;1212;Оплата ефірного часу на радіо Перець ФМ згідно з рахунком № СФ-0000009 від 2019-03-13 р. без ПДВ,700,юридична особа,оплата ефірного часу на радіо
Журавльов Василь Миколайович,Стабільність,221,1212,2019-03-15,20,ТОВ Телерадіокомпанія Мега-Радіо,"м. Київ, вул. Олександра Довженка, буд. 14, оф. 157",30282840,+;1212;Оплата ефірного часу на радіо Перець ФМ згідно з рахунком № СФ-0000009 від 2019-03-13 р. в т.ч. ПДВ 420.00 грн.,2520,юридична особа,оплата ефірного часу на радіо
Журавльов Василь Миколайович,Стабільність,221,1212,2019-03-15,19,ТОВ Телерадіокомпанія Столиця,"м. Київ, вул. Довженка, буд. 14, оф. 157",23505665,+;1212;Оплата ефірного часу на радіо Перець ФМ згідно з рахунком № СФ-0000013 від 2019-03-13 р. в т.ч. ПДВ 364.00 грн.,2184,юридична особа,оплата ефірного часу на радіо
Журавльов Василь Миколайович,Стабільність,221,1212,2019-03-15,22,ТОВ ТРК Клас,"м. Київ, вул. Івана Мазепи, буд. 10",24821055,+;1212;Оплата ефірного часу на радіо Перець ФМ згідно з рахунком № СФ-0000043 від 2019-03-13 р. в т.ч. ПДВ 1950.00 грн.,11700,юридична особа,оплата ефірного часу на радіо
Журавльов Василь Миколайович,Стабільність,221,1212,2019-03-15,23,ТОВ ТРК Клас,"м. Київ, вул. Івана Мазепи, буд. 10",24821055,+;1212;Оплата ефірного часу на радіо Перець ФМ згідно з рахунком № СФ-0000044 від 2019-03-13 р. в т.ч. ПДВ 980.00 грн.,5880,юридична особа,оплата ефірного часу на радіо
Журавльов Василь Миколайович,Стабільність,221,1212,2019-03-15,13,ТОВ Телерадіокомпанія Сіверські підприємства,"м. Київ, бул. Тараса Шевчека, буд. 54/1",14255181,+;1212;Оплата ефірного часу на радіо Шансон згідно з рахунком № 1/14 від 2019-03-14 р. без ПДВ,560,юридична особа,оплата ефірного часу на радіо
Журавльов Василь Миколайович,Стабільність,221,1212,2019-03-15,17,ПП ТРК Черкаський центр міжнародних зв'язків,"м. Київ, бул. Тараса Шевчека, буд. 54/1",14209034,+;1212;Оплата ефірного часу на радіо Шансон згідно з рахунком № 1/14 від 2019-03-14 р. без ПДВ,560,юридична особа,оплата ефірного часу на радіо
Журавльов Василь Миколайович,Стабільність,221,1212,2019-03-15,15,ТОВ Телерадіомовна компанія радіо Хвиля,"м. Київ, бул. Тараса Шевчека, буд. 54/1",24996257,+;1212;Оплата ефірного часу на радіо Шансон згідно з рахунком № 1/14 від 2019-03-14 р. без ПДВ,700,юридична особа,оплата ефірного часу на радіо
Журавльов Василь Миколайович,Стабільність,221,1212,2019-03-15,11,ТОВ Євром'юзік,"м. Київ, бул. Тараса Шевчека, буд. 54/1",37027503,+;1212;Оплата ефірного часу на радіо Шансон згідно з рахунком № 1/14 від 2019-03-14 р. без ПДВ,1400,юридична особа,оплата ефірного часу на радіо
Журавльов Василь Миколайович,Стабільність,221,1212,2019-03-15,14,ТОВ Телерадіокомпанія Контакт,"м. Київ, бул. Тараса Шевчека, буд. 54/1",24512176,+;1212;Оплата ефірного часу на радіо Шансон згідно з рахунком № 1/14 від 2019-03-14 р. в т.ч. ПДВ 233.33 грн.,1400,юридична особа,оплата ефірного часу на радіо
Журавльов Василь Миколайович,Стабільність,221,1212,2019-03-15,16,ТОВ Топ-Радіо,"м. Київ, бул. Тараса Шевчека, буд. 54/1",21117217,+;1212;Оплата ефірного часу на радіо Шансон згідно з рахунком № 1/14 від 2019-03-14 р. в т.ч. ПДВ 93.33 грн.,560,юридична особа,оплата ефірного часу на радіо
Журавльов Василь Миколайович,Стабільність,221,1212,2019-03-15,12,ТОВ Телерадіокомпанія ШАНСОН,"м. Київ, бул. Тараса Шевчека, буд. 54/1",24085596,+;1212;Оплата ефірного часу на радіо Шансон згідно з рахунком № 1/14 від 2019-03-14 р. в т.ч. ПДВ 933.33 грн.,5600,юридична особа,оплата ефірного часу на радіо
Журавльов Василь Миколайович,Стабільність,221,1212,2019-03-15,10,ТОВ Євром'юзік,"м. Київ, бул. Тараса Шевчека, буд. 54/1",37027503,+;1212;Оплата ефірного часу на радіо Шансон згідно з рахунком № 2/14 від 2019-03-14 р. без ПДВ,1560,юридична особа,оплата ефірного часу на радіо
